name,link,compensation,min,max,currency
Программист / разработчик С++/Python,https://www.superjob.ru/vakansii/programmist-38119736.html,По договорённости,,,
"Senior / Middle-backend-разработчик (Python, Django)",https://www.superjob.ru/vakansii/senior-38006611.html,180000 — 220000  руб./месяц,180000,220000,руб.
Разработчик Python,https://www.superjob.ru/vakansii/razrabotchik-python-38305842.html,По договорённости,,,
Инженер-программист Python,https://www.superjob.ru/vakansii/inzhener-programmist-python-37848661.html,от  80000руб./месяц,80000,,руб.
Senior python developer / Teamlead (Odoo),https://www.superjob.ru/vakansii/senior-python-developer-38020430.html,от  250000руб./месяц,250000,,руб.
Программист-разработчик Python/Django (middle/senior),https://www.superjob.ru/vakansii/programmist-razrabotchik-python-37998105.html,до  300000руб./месяц,,300000,руб.
Senior Python Backend Developer / WEB-разработчик,https://www.superjob.ru/vakansii/senior-python-backend-developer-38203421.html,230000  руб./месяц,,,
Python Developer (Team Lead/Senior Python),https://www.superjob.ru/vakansii/python-developer-38259866.html,250000 — 300000  руб./месяц,250000,300000,руб.
Программист Python,https://www.superjob.ru/vakansii/programmist-python-37860501.html,от  120000руб./месяц,120000,,руб.
"Аналитик в отдел планирования (SQL, Python/R)",https://www.superjob.ru/vakansii/analitik-v-otdel-planirovaniya-35583105.html,По договорённости,,,
Инженер-разработчик (Python),https://www.superjob.ru/vakansii/inzhener-razrabotchik-38076010.html,По договорённости,,,
"Full-stack Developer (Python, Javascript)",https://www.superjob.ru/vakansii/full-stack-developer-38070283.html,от  150000руб./месяц,150000,,руб.
Backend Python разработчик,https://www.superjob.ru/vakansii/backend-python-razrabotchik-37943204.html,до  250000руб./месяц,,250000,руб.
Разработчик Python,https://www.superjob.ru/vakansii/razrabotchik-python-38051959.html,По договорённости,,,
Программист Android / Python (удаленная работа),https://www.superjob.ru/vakansii/programmist-android-38284380.html,до  90000руб./месяц,,90000,руб.
Python developer middle,https://www.superjob.ru/vakansii/python-developer-middle-38151521.html,200000 — 250000  руб./месяц,200000,250000,руб.
Senior Software developer,https://www.superjob.ru/vakansii/senior-software-developer-38347038.html,По договорённости,,,
Ведущий программист С / С++ Linux,https://www.superjob.ru/vakansii/veduschij-programmist-s-38006547.html,140000 — 175000  руб./месяц,140000,175000,руб.
Специалист службы поддержки (с техническими знаниями),https://www.superjob.ru/vakansii/specialist-sluzhby-podderzhki-37984527.html,от  15000руб./месяц,15000,,руб.
Менеджер проектов,https://www.superjob.ru/vakansii/menedzher-proektov-38100668.html,По договорённости,,,
Back-end Developer (Node/Java/Python),https://hh.ru/vacancy/46222999?from=vacancy_search_result&query=python,,,,
Junior Python Developer,https://hh.ru/vacancy/46629994?from=vacancy_search_result&query=python,,,,
Backend разработчик на Python / Java в Яндекс. Диск,https://hh.ru/vacancy/46606188?from=vacancy_search_result&query=python,,,,
Python developer / data engineer (Jun->Mid),https://hh.ru/vacancy/46392030?from=vacancy_search_result&query=python,120000 – 150000 руб.,120000,150000,руб.
Программист Python,https://hh.ru/vacancy/46314108?from=vacancy_search_result&query=python,до 350000 руб.,,350000,руб.
Senior Data Scientist,https://hh.ru/vacancy/46552746?from=vacancy_search_result&query=python,от 2800 USD,2800,,USD
Data-scientist,https://hh.ru/vacancy/44653300?from=vacancy_search_result&query=python,,,,
Python разработчик,https://hh.ru/vacancy/46314277?from=vacancy_search_result&query=python,от 250000 руб.,250000,,руб.
Разработчик Python,https://hh.ru/vacancy/46100136?from=vacancy_search_result&query=python,130000 – 200000 руб.,130000,200000,руб.
Middle QA Automation Engineer (Python),https://hh.ru/vacancy/43394113?from=vacancy_search_result&query=python,180000 – 250000 руб.,180000,250000,руб.
Системный программист C/C++ - Python,https://hh.ru/vacancy/45728641?from=vacancy_search_result&query=python,200000 – 300000 руб.,200000,300000,руб.
Программист Python,https://hh.ru/vacancy/46539766?from=vacancy_search_result&query=python,60000 – 200000 руб.,60000,200000,руб.
Python разработчик,https://hh.ru/vacancy/46615951?from=vacancy_search_result&query=python,от 200000 руб.,200000,,руб.
Middle Python Developer,https://hh.ru/vacancy/46618136?from=vacancy_search_result&query=python,160000 – 180000 руб.,160000,180000,руб.
Программист Python,https://hh.ru/vacancy/46609645?from=vacancy_search_result&query=python,100000 – 125000 руб.,100000,125000,руб.
Junior разработчик Python Django,https://hh.ru/vacancy/45517979?from=vacancy_search_result&query=python,40000 – 80000 руб.,40000,80000,руб.
Разработчик Python,https://hh.ru/vacancy/46630253?from=vacancy_search_result&query=python,,,,
Младший Python-разработчик,https://hh.ru/vacancy/46601004?from=vacancy_search_result&query=python,,,,
Старший python-разработчик,https://hh.ru/vacancy/46531633?from=vacancy_search_result&query=python,170000 – 220000 руб.,170000,220000,руб.
Data Scientist / Quantitative Researcher,https://hh.ru/vacancy/43471916?from=vacancy_search_result&query=python,от 250000 руб.,250000,,руб.
Бизнес/системный аналитик,https://www.superjob.ru/vakansii/biznes-38310669.html,По договорённости,,,
Web-аналитик,https://www.superjob.ru/vakansii/web-analitik-37211756.html,По договорённости,,,
Программист C++,https://www.superjob.ru/vakansii/programmist-c-38117435.html,от  90000руб./месяц,90000,,руб.
Front-End Developer (React),https://www.superjob.ru/vakansii/front-end-developer-38345628.html,от  150000руб./месяц,150000,,руб.
Специалист по тестированию,https://www.superjob.ru/vakansii/specialist-po-testirovaniyu-38115062.html,от  70000руб./месяц,70000,,руб.
Менеджер по продажам IT-услуг,https://www.superjob.ru/vakansii/menedzher-po-prodazham-it-uslug-37893526.html,до  55000руб./месяц,,55000,руб.
Ведущий веб-аналитик,https://www.superjob.ru/vakansii/veduschij-veb-analitik-36181150.html,По договорённости,,,
Разработчик SQL,https://www.superjob.ru/vakansii/razrabotchik-sql-38284142.html,12000  руб./месяц,,,
Преподаватель физики на курсах доп. образования,https://www.superjob.ru/vakansii/prepodavatel-fiziki-na-kursah-dop-32396964.html,до  50000руб./месяц,,50000,руб.
Web-аналитик,https://www.superjob.ru/vakansii/web-analitik-36842585.html,от  150000руб./месяц,150000,,руб.
Преподаватель по программированию,https://www.superjob.ru/vakansii/prepodavatel-po-programmirovaniyu-38337355.html,1800 — 2000  руб./час,1800,2000,руб./час
QA Automation Engineer,https://www.superjob.ru/vakansii/qa-automation-engineer-38217143.html,от  100000руб./месяц,100000,,руб.
Сетевой администратор,https://www.superjob.ru/vakansii/setevoj-administrator-38108729.html,от  170000руб./месяц,170000,,руб.
Аналитик,https://www.superjob.ru/vakansii/analitik-37623704.html,По договорённости,,,
DevOps-инженер,https://www.superjob.ru/vakansii/devops-inzhener-37997945.html,до  270000руб./месяц,,270000,руб.
Системный администратор,https://www.superjob.ru/vakansii/sistemnyj-administrator-37927796.html,от  110000руб./месяц,110000,,руб.
Back-end разработчик,https://www.superjob.ru/vakansii/back-end-razrabotchik-38330209.html,По договорённости,,,
Backend-разработчик для разработки большой киберспортивной платформы,https://www.superjob.ru/vakansii/backend-razrabotchik-dlya-razrabotki-bolshoj-kibersportivnoj-platformy-38328267.html,120000 — 150000  руб./месяц,120000,150000,руб.
Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-36642235.html,По договорённости,,,
Аналитик поддержки приложений,https://www.superjob.ru/vakansii/analitik-podderzhki-prilozhenij-38101166.html,По договорённости,,,
Data analyst,https://www.superjob.ru/vakansii/data-analyst-38310667.html,По договорённости,,,
Product Manager / Продакт менеджер,https://www.superjob.ru/vakansii/product-manager-37211908.html,По договорённости,,,
Системный администратор,https://www.superjob.ru/vakansii/sistemnyj-administrator-38114638.html,По договорённости,,,
Head of DevOps,https://www.superjob.ru/vakansii/head-of-devops-34424249.html,По договорённости,,,
ETL-разработчик (удаленно),https://www.superjob.ru/vakansii/etl-razrabotchik-37900824.html,100000 — 120000  руб./месяц,100000,120000,руб.
Старший системный администратор,https://www.superjob.ru/vakansii/starshij-sistemnyj-administrator-37872761.html,По договорённости,,,
Эксперт Cisco Security,https://www.superjob.ru/vakansii/ekspert-cisco-security-38099651.html,По договорённости,,,
Аналитик данных / Data Analyst / Data Scientist,https://www.superjob.ru/vakansii/analitik-dannyh-37868342.html,По договорённости,,,
Аналитик баз данных / Data Engineer,https://www.superjob.ru/vakansii/analitik-baz-dannyh-37980439.html,По договорённости,,,
Компьютерный лингвист,https://www.superjob.ru/vakansii/kompyuternyj-lingvist-38199602.html,от  35000руб./месяц,35000,,руб.
Ведущий бизнес-аналитик (офис),https://www.superjob.ru/vakansii/veduschij-biznes-analitik-38080285.html,По договорённости,,,
Руководитель онлайн-проектов,https://www.superjob.ru/vakansii/rukovoditel-onlajn-proektov-29507407.html,80000 — 100000  руб./месяц,80000,100000,руб.
Учитель информатики,https://www.superjob.ru/vakansii/uchitel-informatiki-31060829.html,78000 — 90000  руб./месяц,78000,90000,руб.
Системный инженер (Devops/Linux),https://www.superjob.ru/vakansii/sistemnyj-inzhener-38094570.html,По договорённости,,,
Ведущий инженер,https://www.superjob.ru/vakansii/veduschij-inzhener-36502434.html,150000 — 180000  руб./месяц,150000,180000,руб.
Программист PHP,https://www.superjob.ru/vakansii/programmist-php-37860523.html,По договорённости,,,
DevOps инженер,https://www.superjob.ru/vakansii/devops-inzhener-38312883.html,По договорённости,,,
Программист,https://www.superjob.ru/vakansii/programmist-37644867.html,По договорённости,,,
Системный администратор,https://www.superjob.ru/vakansii/sistemnyj-administrator-36560801.html,По договорённости,,,
Системный архитектор,https://www.superjob.ru/vakansii/sistemnyj-arhitektor-38309477.html,от  350000руб./месяц,350000,,руб.
Тестировщик риск-стратегий,https://www.superjob.ru/vakansii/testirovschik-risk-strategij-37895613.html,По договорённости,,,
Руководитель бэкенд-разработки (php),https://www.superjob.ru/vakansii/rukovoditel-bekend-razrabotki-35568681.html,По договорённости,,,
Разработчик C в отдел CPE,https://www.superjob.ru/vakansii/razrabotchik-c-v-otdel-cpe-38075902.html,По договорённости,,,
Инженер по направлению Unix,https://www.superjob.ru/vakansii/inzhener-po-napravleniyu-unix-38173611.html,По договорённости,,,
Инженер в области машинного обучения (Data Scientist),https://www.superjob.ru/vakansii/inzhener-v-oblasti-mashinnogo-obucheniya-38301975.html,По договорённости,,,
"Web-developer / Веб-программист (ASP.NET, MVC, C#)",https://www.superjob.ru/vakansii/web-developer-38301425.html,от  100000руб./месяц,100000,,руб.
Системный администратор Windows Linux,https://www.superjob.ru/vakansii/sistemnyj-administrator-windows-linux-38299868.html,до  100000руб./месяц,,100000,руб.
"Учитель ИКТ с дополнительной функцией: робототехника, 3-D моделирование",https://www.superjob.ru/vakansii/uchitel-ikt-s-dopolnitelnoj-funkciej-32935080.html,По договорённости,,,
Администратор медиа серверов Wowza,https://www.superjob.ru/vakansii/administrator-media-serverov-wowza-38070484.html,86000  руб./месяц,,,
